dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Destination / Websites,AI_Prediction
443.0,17.0,17.06323,1393.0,1608.0,701652.0,1209380.0,1395.0,84.0,503.6984924623116,566.9383735738885,1386.0,88.0,752.1019900497513,623.275137927247,111997.08378777052,175.87525925630726,0.0056877433333333,0.0308369420595404,0.601826,0.0,17.06323,0.0122580675287356,0.0463446191146649,0.602813,0.0,16.818542,0.0104658008711885,0.0558779301059895,0.837875,0.0,0.0,0.0,0.0,0.0,27860.0,32160.0,81.63753287038854,94.23772638591872,84.0,1395.0,636.7984005331556,610.4869610135706,372694.32956758497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.154343144292893,636.7984005331556,503.6984924623116,752.1019900497513,11911.617021276596,13.02127659574468,121922.62143022344,6088.116883116883,10.337662337662335,986944.8783753626,1393.0,701652.0,1608.0,1209380.0,0.0,0.0,1393.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
49949.0,17.0,29.38288,247.0,271.0,81214.0,141838.0,1385.0,88.0,328.8016194331984,433.8067690480076,1395.0,84.0,523.3874538745388,570.0713372765658,7591.223188468932,17.62931339610004,0.0568334235976789,0.2742924817818506,5.546528,0.0,29.38288,0.1194426016260162,0.4108531367045051,5.594327,0.0,29.009082,0.1074410444444444,0.3872919796181509,5.643717,2.4e-05,0.0,0.0,0.0,0.0,4940.0,5420.0,8.406255615514885,9.223057780585156,84.0,1395.0,430.6023166023166,518.8442570593188,269199.36308343644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097165991902834,430.6023166023166,328.8016194331984,523.3874538745388,2193.785714285714,6.285714285714286,1061741.6254710131,6699.0,7.5,55549.62431031999,247.0,81214.0,271.0,141838.0,0.0,0.0,247.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
443.0,17.0,29.048462,443.0,392.0,233872.0,132731.0,1395.0,84.0,527.9277652370204,582.0017641492884,1385.0,88.0,338.5994897959184,440.1937598651638,12620.392776732897,28.745067466910985,0.0348302901678657,0.1270082607054525,0.951361,0.0,29.046983,0.0657171561085973,0.1870434973084256,1.000336,0.0,28.871379,0.0738398439897698,0.2177263775203447,1.466484,0.0,0.0,0.0,0.0,0.0,8860.0,7840.0,15.250377111187504,13.49469035572348,84.0,1395.0,439.0455089820359,528.7749555506155,279602.9536175553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848758465011287,439.0455089820359,527.9277652370204,338.5994897959184,7739.0,8.35,91260.12437272668,1533.842105263158,5.631578947368421,211858.1844881105,443.0,233872.0,392.0,132731.0,0.0,0.0,443.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
49949.0,17.0,29.903936,1518.0,1409.0,939410.0,1089094.0,1386.0,88.0,618.8471673254282,607.5578744819888,1395.0,84.0,772.9552874378992,613.9173337493108,67834.01355594126,97.88009177119692,0.0102200714285714,0.0504965862744187,0.926326,-2e-06,29.673874,0.0195608925510876,0.0864003916455739,0.974456,0.0,29.903743,0.0212384538352272,0.0773489429504859,0.974193,2.6e-05,0.0,0.0,0.0,0.0,30360.0,28180.0,50.7625484484718,47.11754332272514,84.0,1395.0,693.0317731465665,615.463231577938,378794.9894243585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281949934123848,693.0317731465665,618.8471673254282,772.9552874378992,5600.814814814815,8.907407407407407,352060.19539757574,14680.147540983606,13.459016393442624,138679.10824289013,1518.0,939410.0,1409.0,1089094.0,0.0,0.0,1518.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
443.0,17.0,29.854662,1109.0,886.0,861127.0,251466.0,1395.0,84.0,776.4896302975653,608.617193567068,1385.0,88.0,283.8216704288939,404.2943575744162,37266.97692976728,66.82373426301058,0.0149722477432296,0.064829848629592,0.952601,0.0,29.854662,0.0269446407942238,0.0947327119560877,1.000623,0.0,29.805985,0.0336790790960451,0.1150005997597352,1.17667,0.0,0.0,0.0,0.0,0.0,22180.0,17720.0,37.14662721688157,29.67710704612901,84.0,1395.0,557.6907268170426,581.741908589838,338423.6482097474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7989179440937781,557.6907268170426,776.4896302975653,283.8216704288939,8155.448717948718,8.820512820512821,121582.38579187618,1951.253968253968,7.523809523809524,174661.2031019559,1109.0,861127.0,886.0,251466.0,0.0,0.0,1109.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
443.0,17.0,29.955976,735.0,842.0,309945.0,393938.0,1395.0,84.0,421.6938775510204,505.9439485537522,1385.0,88.0,467.8598574821853,534.0753230293113,23497.24809500448,52.64391986427015,0.0190075989847715,0.0780944660224011,0.951424,0.0,29.560276,0.040272855585831,0.1227106882004483,1.000347,0.0,29.814474,0.0354512175980975,0.1242319781615237,1.266604,0.0,0.0,0.0,0.0,0.0,14700.0,16840.0,24.5360057706015,28.10791409366865,84.0,1395.0,446.3430564362714,521.6615674933919,272130.79099966265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.145578231292517,446.3430564362714,421.6938775510204,467.8598574821853,4188.433962264151,6.528301886792453,51011.41803501702,4304.476190476191,7.095238095238095,277135.4231603302,735.0,309945.0,842.0,393938.0,0.0,0.0,735.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
49949.0,17.0,22.643964,1466.0,1535.0,768623.0,1411906.0,1385.0,88.0,524.2994542974079,578.3836592241751,1395.0,84.0,919.8084690553746,592.2673122662515,96296.25802266775,132.52979911114502,0.0075478519999999,0.041612948448611,0.95195,-5.1e-05,22.643964,0.0154566307167235,0.0715192184898587,1.00025,0.0,22.636931,0.0147567998696219,0.0633208286715485,1.000276,2.5e-05,0.0,0.0,0.0,0.0,29320.0,30700.0,64.74131472740373,67.78848438374129,84.0,1395.0,726.6007997334221,618.0025330657918,381927.130875735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0470668485675307,726.6007997334221,524.2994542974079,919.8084690553746,4874.29,8.58,575376.4395359489,7677.227586206896,7.075862068965518,275384.4182407129,1466.0,768623.0,1535.0,1411906.0,0.0,0.0,1466.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
443.0,17.0,29.735048,1186.0,1401.0,556257.0,838239.0,1395.0,84.0,469.0193929173693,546.3390102550286,1385.0,88.0,598.3147751605995,590.2159044247635,46897.38520011806,87.00170922878618,0.011498471771075,0.0583879046414127,1.064271,0.0,29.720191,0.0250803299578059,0.0916487331612247,1.073321,0.0,29.473603,0.0210525735714285,0.0911814824284531,1.126697,0.0,0.0,0.0,0.0,0.0,23720.0,28020.0,39.88559224790893,47.11611698087725,84.0,1395.0,539.0398144568999,574.1456727491479,329643.2535365717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1812816188870152,539.0398144568999,469.0193929173693,598.3147751605995,8061.2307692307695,9.153846153846152,88514.67674544957,4565.207792207792,7.883116883116883,381443.73525588296,1186.0,556257.0,1401.0,838239.0,0.0,0.0,1186.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
49949.0,17.0,29.846654,908.0,1173.0,164921.0,1149253.0,1385.0,88.0,181.6310572687225,251.64357836679127,1395.0,84.0,979.7553282182438,570.4109007721469,44030.86523534598,69.72305840379963,0.0143493519230769,0.0698004856997248,0.951275,-2e-06,28.960715,0.0319302260198456,0.115890389491675,1.000996,0.0,29.846353,0.0254661715017064,0.0965244247600831,0.99975,2.5e-05,0.0,0.0,0.0,0.0,18160.0,23460.0,30.42217060579052,39.30088779800912,84.0,1395.0,631.5108121095627,606.38221659523,367699.3926029445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2918502202643172,631.5108121095627,181.6310572687225,979.7553282182438,1065.3733333333332,7.346666666666667,254744.80247657487,9909.905263157894,8.810526315789474,204918.79461453157,908.0,164921.0,1173.0,1149253.0,0.0,0.0,908.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
49949.0,17.0,29.761537,497.0,619.0,150463.0,494365.0,1385.0,88.0,302.7424547283702,436.221085092048,1395.0,84.0,798.6510500807755,616.0128959096612,21666.48852846545,37.49806335606928,0.0266919614349775,0.1072115349327161,0.952463,0.0,29.761023,0.0600020625,0.1781340303825203,1.102219,0.0,29.761338,0.0481575048543689,0.152776135094009,1.000575,2.8e-05,0.0,0.0,0.0,0.0,9940.0,12380.0,16.6994063512244,20.79865700484488,84.0,1395.0,577.8028673835125,596.6302075053752,355967.6045079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2454728370221329,577.8028673835125,302.7424547283702,798.6510500807755,1100.1935483870968,7.935483870967742,186898.57740952633,12643.6875,11.5625,125378.56239101756,497.0,150463.0,619.0,494365.0,0.0,0.0,497.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-email
